"V1" "V4"
"ENSG00000237765" 11
"ENSG00000163116" 22
"ENSG00000248099" 4
"ENSG00000170465" 9
"ENSG00000066279" 54
"ENSG00000186564" 9
"ENSG00000186480" 11
"ENSG00000106809" 6
"ENSG00000111206" 13
"ENSG00000178919" 7
"ENSG00000176692" 8
"ENSG00000129654" 7
"ENSG00000186790" 3
"ENSG00000101680" 93
"ENSG00000176678" 11
"ENSG00000254647" 3
"ENSG00000040933" 14
"ENSG00000068383" 13
"ENSG00000204084" 17
"ENSG00000118689" 2
"ENSG00000168918" 34
"ENSG00000150907" 29
"ENSG00000165458" 23
"ENSG00000105953" 17
"ENSG00000179772" 10
"ENSG00000114026" 9
"ENSG00000139515" 5
"ENSG00000164761" 10
"ENSG00000136068" 34
"ENSG00000121410" 12
"ENSG00000196924" 55
"ENSG00000175899" 46
"ENSG00000120215" 3
"ENSG00000177731" 11
"ENSG00000151702" 16
"ENSG00000176845" 6
"ENSG00000143631" 170
"ENSG00000120211" 8
"ENSG00000171428" 4
"ENSG00000173404" 3
"ENSG00000173391" 5
"ENSG00000171105" 14
"ENSG00000126861" 4
"ENSG00000254550" 5
"ENSG00000027644" 30
"ENSG00000198836" 18
"ENSG00000104408" 14
"ENSG00000132589" 8
"ENSG00000183715" 27
"ENSG00000128591" 76
"ENSG00000184302" 6
"ENSG00000168310" 13
"ENSG00000184166" 11
"ENSG00000126456" 14
"ENSG00000168124" 12
"ENSG00000137265" 32
"ENSG00000168158" 12
"ENSG00000170558" 45
"ENSG00000122176" 13
"ENSG00000131781" 15
"ENSG00000180205" 3
"ENSG00000007933" 23
"ENSG00000094963" 13
"ENSG00000010932" 23
"ENSG00000037280" 40
"ENSG00000090554" 10
"ENSG00000180083" 6
"ENSG00000122025" 36
"ENSG00000102755" 43
"ENSG00000197429" 13
"ENSG00000079482" 13
"ENSG00000184216" 12
"ENSG00000116329" 10
"ENSG00000091409" 19
"ENSG00000082556" 23
"ENSG00000134070" 15
"ENSG00000125510" 10
"ENSG00000112038" 16
"ENSG00000136381" 18
"ENSG00000076258" 14
"ENSG00000125347" 11
"ENSG00000016082" 10
"ENSG00000129009" 12
"ENSG00000213949" 19
"ENSG00000214360" 7
"ENSG00000164171" 14
"ENSG00000257365" 6
"ENSG00000154162" 48
"ENSG00000040731" 69
"ENSG00000168522" 10
"ENSG00000113100" 78
"ENSG00000150394" 63
"ENSG00000081138" 49
"ENSG00000113361" 42
"ENSG00000115414" 52
"ENSG00000179776" 19
"ENSG00000155966" 50
"ENSG00000179242" 48
"ENSG00000170255" 18
"ENSG00000062038" 13
"ENSG00000102081" 20
"ENSG00000128604" 8
"ENSG00000180090" 9
"ENSG00000117595" 19
"ENSG00000221882" 6
"ENSG00000185507" 8
"ENSG00000169047" 29
"ENSG00000085840" 12
"ENSG00000115942" 13
"ENSG00000174705" 17
"ENSG00000172183" 1
"ENSG00000140937" 46
"ENSG00000182676" 2
"ENSG00000186377" 13
"ENSG00000144668" 18
"ENSG00000156886" 37
"ENSG00000083457" 20
"ENSG00000005844" 33
"ENSG00000169896" 31
"ENSG00000149346" 9
"ENSG00000134058" 5
"ENSG00000170345" 5
"ENSG00000185477" 23
"ENSG00000105810" 4
"ENSG00000110203" 3
"ENSG00000164885" 7
"ENSG00000165457" 8
"ENSG00000135446" 8
"ENSG00000250506" 3
"ENSG00000123374" 2
"ENSG00000110195" 4
"ENSG00000145526" 66
"ENSG00000079112" 33
"ENSG00000086205" 22
"ENSG00000166589" 20
"ENSG00000129910" 19
"ENSG00000140945" 36
"ENSG00000005961" 15
"ENSG00000005884" 13
"ENSG00000228075" 8
"ENSG00000115232" 34
"ENSG00000228474" 1
"ENSG00000161638" 26
"ENSG00000178690" 10
"ENSG00000135424" 30
"ENSG00000134504" 7
"ENSG00000053328" 8
"ENSG00000259207" 10
"ENSG00000132470" 33
"ENSG00000242372" 1
"ENSG00000082781" 16
"ENSG00000163626" 9
"ENSG00000115221" 31
"ENSG00000139626" 9
"ENSG00000100526" 3
"ENSG00000129355" 3
"ENSG00000177752" 13
"ENSG00000123080" 7
"ENSG00000147883" 2
"ENSG00000075539" 48
"ENSG00000147889" 130
"ENSG00000129757" 8
"ENSG00000187474" 21
"ENSG00000111276" 14
"ENSG00000171049" 17
"ENSG00000124762" 20
"ENSG00000171051" 17
"ENSG00000136807" 8
"ENSG00000136877" 7
"ENSG00000132964" 12
"ENSG00000075426" 9
"ENSG00000125740" 12
